trial_id,lr_balance_weight,makespan_weight,balance_weight,production_line_avg_time_weight,production_line_balance_weight,aisle_dispersion_weight,inbound_wait_weight,outbound_choice_bonus_weight,log_proposed_proposed_optimization,avg_completion_proposed_proposed_optimization_hours,relocations_proposed_proposed_optimization,final_balance_proposed_proposed_optimization,pairing_with_solo_proposed_proposed_optimization_pct,log_baseline_baseline_optimization,avg_completion_baseline_baseline_optimization_hours,relocations_baseline_baseline_optimization,final_balance_baseline_baseline_optimization,pairing_with_solo_baseline_baseline_optimization_pct,avg_completion_mean_hours,relocations_mean,pairing_with_solo_mean_pct
19,0.1,0.01,0.1,0.05,0.0,0.5,-0.01,0.5,logs\opt_weight_search\trial0019-prop-prop-opt.log,6.420416666666667,107,,79.0,logs\opt_weight_search\trial0019-base-base-opt.log,6.818319444444445,130,,78.0,6.619368055555556,118.5,78.5
20,0.1,0.01,0.1,0.05,0.0,0.5,-0.01,1.0,logs\opt_weight_search\trial0020-prop-prop-opt.log,6.420416666666667,107,,79.0,logs\opt_weight_search\trial0020-base-base-opt.log,6.818319444444445,130,,78.0,6.619368055555556,118.5,78.5
21,0.1,0.01,0.1,0.05,0.0,0.5,0,0.5,logs\opt_weight_search\trial0021-prop-prop-opt.log,6.444472222222222,92,,77.5,logs\opt_weight_search\trial0021-base-base-opt.log,6.769909722222223,106,,75.0,6.607190972222222,99.0,76.25
22,0.1,0.01,0.1,0.05,0.0,0.5,0,1.0,logs\opt_weight_search\trial0022-prop-prop-opt.log,6.444472222222222,92,,77.5,logs\opt_weight_search\trial0022-base-base-opt.log,6.769909722222223,106,,75.0,6.607190972222222,99.0,76.25
23,0.1,0.01,0.1,0.05,0.0,0.5,0.01,0.5,logs\opt_weight_search\trial0023-prop-prop-opt.log,6.536409722222222,108,,78.0,logs\opt_weight_search\trial0023-base-base-opt.log,6.874743055555555,133,,76.5,6.705576388888889,120.5,77.25
24,0.1,0.01,0.1,0.05,0.0,0.5,0.01,1.0,logs\opt_weight_search\trial0024-prop-prop-opt.log,6.536409722222222,108,,78.0,logs\opt_weight_search\trial0024-base-base-opt.log,6.874743055555555,133,,76.5,6.705576388888889,120.5,77.25
25,0.1,0.01,0.1,0.05,0.1,0.5,-0.1,0.5,logs\opt_weight_search\trial0025-prop-prop-opt.log,6.425805555555555,104,,77.5,logs\opt_weight_search\trial0025-base-base-opt.log,6.959833333333334,112,,74.5,6.692819444444444,108.0,76.0
26,0.1,0.01,0.1,0.05,0.1,0.5,-0.1,1.0,logs\opt_weight_search\trial0026-prop-prop-opt.log,6.425805555555555,104,,77.5,logs\opt_weight_search\trial0026-base-base-opt.log,6.959833333333334,112,,74.5,6.692819444444444,108.0,76.0
27,0.1,0.01,0.1,0.05,0.1,0.5,-0.01,0.5,logs\opt_weight_search\trial0027-prop-prop-opt.log,6.420416666666667,107,,79.0,logs\opt_weight_search\trial0027-base-base-opt.log,6.818319444444445,130,,78.0,6.619368055555556,118.5,78.5
28,0.1,0.01,0.1,0.05,0.1,0.5,-0.01,1.0,logs\opt_weight_search\trial0028-prop-prop-opt.log,6.420416666666667,107,,79.0,logs\opt_weight_search\trial0028-base-base-opt.log,6.818319444444445,130,,78.0,6.619368055555556,118.5,78.5
